SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- http://irconference.twse.com.tw/2376_27_20260515_ch.mp4
VIDEO TITLE: TWSE irconference replay
CALL DATE: 05-15-2026
QUARTER: Q1 FY2026
# source label: Gigabyte Q1 FY2026 (05-15-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 907   characters: 11,191

---
[00:13] 歡迎各位投資先進參加技嘉科技股份有限公司
[02:14] 那接下來是二零二六年的
[02:16] 第一記錄的財務報告
[02:18] 二零二六年3月31號的約當
[02:22] 現金級約當現金是633億
[02:24] 相較去年同期增加了206.78億
[02:29] 營收賬款239億減少67.77億
[02:33] 相較去年同期減少22%
[02:36] 存貨金額1316億增加730.95億
[02:40] 相較去年同期增加124.88%
[02:45] 流動資產2340億增加951.27億
[02:49] 相較去年同期增加68.45%
[02:53] 固定資產137億增加26.91億
[02:56] 相較去年同期增加24.24%
[02:59] 應付賬款665億增加370.86億
[03:03] 相較去年同期增加126.05%
[03:06] 流動負債1303億增加980.57億
[03:10] 相較去年同期增加135.59%
[03:14] 業主權益645.67億增加76.08億
[03:17] 相較去年同期增加13.35%
[03:21] 普通股補本66.99億沒有變動
[03:25] 再來是2026年低季度的損益表
[03:29] 低季度損益表
[03:30] 營業收入1050億
[03:32] 相較去年同期增加393.1
[03:37] 增加59.78%
[03:40] 營業成本924億
[03:43] 相較去年同期增加61.4%
[03:46] 營業毛利126億
[03:48] 相較去年同期增加48.75%
[03:51] 營業費用52億
[03:53] 相較去年同期增加22.64%
[03:56] 營業利益74億
[03:57] 相較去年同期增加74.87%
[04:01] 稅前經歷70億
[04:02] 相較去年同期增加57.56%
[04:05] 所得稅費用14億
[04:07] 相較去年同期增加29.95%
[04:10] 本期經歷56億
[04:11] 相較去年低季度同期增加22.521
[04:15] 增加66.39%
[04:17] EPS7.86
[04:19] 相較去年低季度同
[04:21] 相較去年低季度同期增加3.21
[04:26] 歪歪增加69.03%
[04:30] 低季度的毛利率是12.11%
[04:33] 營業費用率是4.95%
[04:34] 營業利益率是7.06%
[04:39] 這一頁是2026年低季度的產品區分
[04:43] 2026年低季度營收百分比產品別來看
[04:47] 主機板約佔605%
[04:49] 顯示卡是19%
[04:51] 伺服器產品佔71.5%
[04:53] 其他佔3%
[04:57] 這一頁是從2023年低季度到
[05:01] 2026年低季度的季度營業額跟EPS
[05:05] 大家可以看到
[05:07] 營收跟EPS持續的響應成長
[05:10] 2026年低季度營收1050億
[05:13] EPS7.86接創下歷史新高季度
[05:18] 再來是
[05:20] 網利率營業費用率跟營業利益率
[05:23] 因為COVID-19的影響
[05:24] 2021跟2022的數據比較特別
[05:27] 從2023年開始
[05:29] 技嘉相關經營數據持續進步
[05:32] 整體的趨勢可以看到
[05:33] 從2023年費用率從8.54
[05:35] 降到5.78再降到5.46再降到4.95
[05:39] 營業利益率則持續上升
[05:42] 23年是3.58、24年4.82、25年4.98、26年7.06%
[05:50] 再來跟各位報告
[05:51] 2026年低季度的營運重點及
[05:54] 2026年的展望
[05:57] 第一個報告
[05:59] 經營基礎持續創下歷史新高
[06:01] 2026年低季度營收是新台幣1050億
[06:05] YOLI成長60%
[06:07] EPS7.86、YOLI成長69%
[06:10] 接為歷史新高紀錄
[06:13] 第二個剛發佈的天下雜誌
[06:16] 2026年2000大企業排名調查
[06:19] 技嘉科技排名製造業的第16名
[06:22] 電腦受變與零組建的第一名
[06:25] 第三點
[06:26] 低季度營收成長功能主要來自
[06:28] AX4不計成長強勁
[06:30] 外外成長110%
[06:33] 第四 三綠三升
[06:36] 毛利率、營業利率跟存利率都上升
[06:41] 2026年Q1毛利率12.01%
[06:44] QQ上升1.75個百分點
[06:47] 低季度營業利率7.06叫
[06:52] 2026年Q4 QQ上升2.8個百分點
[06:56] 營業存利率是5.37%
[06:59] QQ上升1.73個百分點
[07:02] 第五 技嘉產品
[07:04] 全線覆蓋AI雲端到地端需求
[07:07] 產品組合持續優化
[07:09] QQ專隊算力需求持續強勁
[07:12] 展望樂觀
[07:13] 我們預期2026年營收將持續強高
[07:19] 因應客戶需求
[07:20] 技嘉全球生產據點擊產能持續擴張
[07:23] 技嘉一直依照客戶需求進度
[07:26] 超前部署相關市府系產能
[07:28] 其中雖然受到美國電力限制稍微影響進度
[07:32] 但美國生產線預計第二季
[07:35] 即可完整交互市府系產品是中央客戶
[07:39] 在台灣最新過增的古城新廠
[07:41] 也將於第三季完成
[07:43] 除了台灣以外
[07:44] 與工藝店夥伴合作陸續印度
[07:46] 馬來西亞巴西等地建設產能都持續推進
[07:50] 台灣美國馬來西亞等地過增產能陸續高位後
[07:54] 整體伺服器產能將較去年翻倍
[07:56] 以滿足購物需求
[08:01] 接下來是產品介紹
[08:02] 第一個是技嘉的AI server
[08:06] GV300 MV有72
[08:09] 隨著升能式AI與大型模型應用持續發展
[08:14] 市場對高項人均算平台的需求持續提升
[08:18] 近剛在GV300系列方面以明確
[08:22] 必備明確產品佈局
[08:23] 並以正式推出相關解決方案
[08:26] 進入市場導入階段
[08:29] 目前公司以推出GV300 MV有72
[08:31] 高密度AI運算系統
[08:33] 採用NVIDIA GP300 Grades
[08:36] Ragwell Atra Super Chip架構
[08:39] 整合72顆GPU與36顆CPU
[08:42] 可支援大型模型訓練與高密度運算需求
[08:47] 並適用於資料中心與大規模互助安靜
[08:50] 同時公司以推出G4L4SD3LAX7
[08:55] 易冷GPU伺服器支援NVIDIA HGXB300平台
[09:02] 並採用直易冷散熱設計
[09:06] 具備優異的熱管理人地與高密度運算架構
[09:11] 可支援長時間高負載AI運算環境
[09:14] 在單機與開發端W775 V10 L01
[09:20] 桌邊型的AI工作站提供AI模型開發
[09:23] 測試與小規模推論應用
[09:25] 補習從開發到部署的完成產品鏈
[09:29] 整體的研製計價以完成GV300世代產品佈局
[09:33] 並正式進入到市場導入階段
[09:35] 持續全新新新一代AI基礎建設需求
[09:39] 在Verro Rubin PlayFone的部分
[09:42] 除了現行GV300平台
[09:44] 以進入量產與市場導入階段外
[09:47] 技工藝同步展開下一代Verro Rubin
[09:49] 系列產品之研發與架構規劃
[09:53] 持續與NVIDIA GDU roadmap保持高度一致
[09:56] 提前佈局下一代AI基礎建設的發展方向
[10:01] 隨AI模型規模與應用複雜度持續提升
[10:04] 市場對運算效能等於效率
[10:06] 以支援利用率的要求將進一步提高
[10:09] 未來AI基礎建設將朝向更高密度
[10:13] 更高效率與更高規模整合的架構發展
[10:16] Verro Rubin的平台預計將支援新一代AI
[10:20] 訓練與推論需求
[10:22] 並對應更進階的應用場景
[10:25] 透過提前投入下一代
[10:28] 下一世代平台開發
[10:30] 公司可強化產品世代型階能力
[10:32] 確保從GV300到Verro Rubin的技術
[10:35] 引進順利延續
[10:37] 並持續參與AI基礎建設升級週期
[10:40] 同時公司配合整體市場導入時程
[10:43] 推進相關產品準備
[10:45] 逐步建立未來專案機會與生長動能
[10:50] 在Gigapart的部分
[10:53] 隨AI應用由單一解典
[10:55] 擴展至多解典重機運算
[10:58] 購入對整體基礎建設不符的需求持續提升
[11:02] 即剛透過Gigapart高密度AI PART解決方案
[11:06] 結合GTN管理平台提供完整軟硬整合之AI基礎建設方案
[11:12] Gapart採用預整合設計
[11:14] 可支援高密度GPU class的護署
[11:17] 並具備快速建置與彈性擴展能力
[11:21] GTN則提供支援監控
[11:23] 任務調度與重機管理功能
[11:25] 協助客戶提升運算效率與整體營運管理能力
[11:30] 目前公司依據不同
[11:33] 應用需求規劃多元護索模式
[11:36] AI training PART
[11:37] 使支援大型模型訓練與高密度GPU運算
[11:42] HPC inference PART
[11:44] 支援高效能運算與AI推論應用在推論應用方面
[11:49] Gigapart搭載NVIDIA RTS
[11:51] Pro 6000系列GPU與AI AMD Instinct MI350系列平台
[11:59] 滿足系列AI推論與多元應用需求
[12:02] 在HPC應用方面
[12:04] Gigapart採用高密度伺服器與Blade架構設計
[12:08] 提升公司利用與運算密度
[12:11] 適用於大規模資料處理場景
[12:13] 透過標準化與整合能力
[12:15] 公司可有效縮短客戶導入時間
[12:18] 並提升整體解決方案價值
[12:25] 技嘉開發的GTN Gigabyte PART Manager
[12:29] 平台整合硬體軟體與AI工作負債管理
[12:34] 支援NVIDIA AI Enterprise Oniverse
[12:38] 與MLO OPS等預算環境提供從重機調度
[12:43] 任務分配到支援監控的集中化界面
[12:46] 平台內建GIGAPART Gigabyte Cluster Manager
[12:50] 可及時監控GPU-CPU支援溫度與功能
[12:54] 並結合Face Command等工具進行運算稅加化
[12:59] GPN同時協調電源冷卻儲存於網路等基礎設施
[13:05] 會勾結工的從伺服器節點到整個重機的一戰
[13:10] 是AI基礎架構管理方案
[13:13] 展現技嘉在軟體層的系統者和能力
[13:16] 與附加價值
[13:19] 因應AI Factory建構需求日益複雜
[13:23] 即剛提出GIGAPART Gigabyte AI Factory Asserted
[13:28] 做一套從設計到部署的端道端
[13:31] AI基礎建設研發與加速平台
[13:34] GIGAPART透過數位軟身設計與NVIDIA DXX架構
[13:39] 將實體場域轉為虛擬模擬環境
[13:43] 在建置前及完成效能驗證風險評估
[13:47] 有效降低導入不確定性
[13:50] 進一步絕合POC測試機制
[13:53] 針對不同AI模型與應用場景進行效能調校
[13:56] 與TCO優化
[13:59] 確保系統配置達到最佳頂痕
[14:02] 在完成模擬與驗證後
[14:03] 該法可輸出專屬系統來途
[14:06] 定義從L6
[14:08] 單機硬體到L13軟體部署的完整架構
[14:12] 並控過Syndrial流程實現
[14:16] AI基礎建設的精準落地
[14:20] 此外工資益持續發展
[14:24] GIGAPART Asserted Deployment Unit
[14:27] 模組化部署單位單元
[14:30] 是AI基礎建設GPEC擴展與可複製的建設能力
[14:35] 進一步提升大型專案的交互效率與附屬財信
[14:39] 扣貨該法
[14:40] 即當不僅提供產品
[14:42] 更顯入客戶加速AI Factory的實現
[14:45] 並縮短從規劃到盈利的整體時程
[14:50] 在Modern World產品方面
[14:52] D5DORX維技加Z890 Plus改版機種的核心記憶體技術
[14:58] 不同於過去的4DAM主機板
[15:01] DORX系列主機板採用雙插槽獨立訊號透補設計
[15:05] 搭配專屬主抗調校電路可有效降低訊號干擾
[15:10] 扶貨傳統DDR5平台的SIMEX極限
[15:14] CU定機體可上
[15:19] 10400MTX
[15:22] 另外D5DORX搶先加入下一代世代的CQ電源支援
[15:28] 3條CQ電容量可達到過去U電的兩倍
[15:32] 兩條極可典滿4條記憶體容量
[15:35] 全新D5DORX技術無論追求極致
[15:40] 超頻競技或高容量多功創造
[15:42] 兼能全面滿足需求
[15:44] 重新定義了DDR5
[15:47] DR5的效能減少降減
[15:52] 再來是Altra Turbo Mode
[15:55] 大載Altra Turbo Mode的
[15:58] 全新Z890 Plus的改良插片
[16:01] 採用三階段漸進式超頻架構
[16:06] LV1 INPIL 200X Boost和
[16:10] 預設開啟精準調校即時提升遊戲效能
[16:14] 零門檻開箱啟用
[16:17] LV2 Turbo Mode
[16:19] 則可最佳化核心曲線與記憶體時序
[16:23] 大幅突破FPS上限
[16:26] L3 Extreme Mode
[16:27] 則透過更激進的參數調校
[16:30] 全力解放處理器潛能
[16:32] 為精英玩家帶來好保留的邊風效能
[16:36] 最高可達40%的效率比生
[16:41] 技嘉Arrow Mode主機板
[16:44] 是業界第一個將木質設計融入主機板的產品
[16:48] 木質系分為Wood與Duckwood兩款
[16:51] 將雙色調美學回應在不同生活個性的追求
[16:56] Wood板以明亮銀灰為主調
[16:59] 搭配淺色木紋飾板
[17:02] 在光影之間流露出北歐極簡的空間氣質
[17:07] Duckwood板則以深層中灰為理測
[17:11] 浮以深色木紋機理
[17:14] 散發出低調成本的都市精品功德
[17:17] 兩款主機板直接採用木質紋理工藝
[17:20] 不僅是視覺上突破
[17:21] 更是對電腦不應指示
[17:24] 並且機器這一理念的具體實踐
[17:27] 在頂級X8701平台與Andy Run X3D
[17:31] 處理器的強大效能支持之下
[17:34] Arrow X3D Wood Edition
[17:37] 證明了極致性能與生活美學的
[17:40] 重複互相裹斜
[17:41] 這是屬於創作者
[17:42] 品位玩家與生活藝術家的旗艦之選
[17:48] 再來是顯卡的產品
[17:51] 技嘉最新的影變的系列顯示卡
[17:54] 不推出榮獲2026年
[17:57] 紅點設計獎的Arrus RTS-5090 Infinity
[18:02] 其核心又是在於獨家研發的
[18:04] Windforce Hyperburst Sensor系統
[18:09] 透過業界創新的分流式PCB結構
[18:13] 實現了獨播Double Flow Through
[18:16] 雙通道風流架構
[18:18] 讓氣流能徹底穿透背載兩側
[18:22] 結合位於中央能自動啟動的
[18:24] Overdrive Fan
[18:26] 在高負載下提供額外散熱能力
[18:29] 在僅33公分的精巧指示下
[18:32] 我們完美示範了
[18:34] 旗艦級的AI運算效能
[18:38] 這套重新定義風流效率的
[18:40] Infinity 3D架構
[18:41] 將陸續延伸至全系列產品
[18:44] 以跨世代的結構突破
[18:46] 展現技嘉對未來設計趨勢的超減步驟
[18:51] 再來介紹技嘉在邊緣運算領域的
[18:53] AI Box系列產品
[18:56] 首先介紹剛獲得
[18:58] 2026 Best Choice 獎的旗艦級機軸
[19:01] Oris RTX 5090 AI Box
[19:04] 它搭載了NVIDIA BraveWare架構
[19:06] 以及獨家Waterforce Satellite系統
[19:10] 凭借金
[19:11] 金能的三色GD VRAM與
[19:13] 3000 AI CUT
[19:15] 的算力
[19:17] 不予比電前所未有的桌機僅效能
[19:20] 重新定義行動運算界限
[19:23] 第二個是
[19:24] 融貨2026年紅點設計獎的新品
[19:27] Oris RTX 5060 AI Box
[19:31] 相較於旗艦款
[19:32] 主導compad
[19:34] 輕巧編輯NC設計不到1KG的重量
[19:39] 搭載16GB VRAM
[19:41] 並採用Weeforce功能散熱
[19:44] 讓用戶能隨身攜帶強大串利
[19:47] 此產品音頻完美平衡的效能與行動力
[19:51] 這是銜接技嘉AI TOP
[19:53] 邊緣音算方向的最佳入口
[19:55] 當頂電外接AI Box時
[20:01] 系統長音筆電內建GPU
[20:03] 與AI Box支援分配不平均
[20:06] 導致效能擠壓
[20:08] AI Box GPU Selector
[20:10] 則是為了解決此痛點而生
[20:13] 它能讓使用者自主定義不同工作流
[20:16] 給不同的GPU
[20:18] 獲得明顯的效能提升
[20:20] 無論是編完3A大作
[20:23] 編掛機養成遊戲
[20:25] 或是在3D渲染時
[20:27] 同步產生
[20:28] 生成式AI創作
[20:30] 都能夠確保高效併行
[20:32] 互不干擾
[20:33] 這項工具不僅極大化了
[20:35] 運算產出跟閃現技嘉
[20:38] 透過軟體整合
[20:40] 為用戶創造全方位溝通價值的實力
[20:50] 再來是底電的部分
[20:52] 技嘉旗下
[20:54] 電競品牌Oros旗艦機種Oros Master
[20:58] 16以19mm的
[21:01] 極致先駁機身搭載的RPS590與RUN 9
[21:07] 9955HX3D等頂級頂鍵規格
[21:12] 獲得媒體一致好評
[21:14] 它叫前一代縮減17%的厚度
[21:18] Tegreater也稱讚它有相當出色的
[21:20] 散熱工程設計
[21:22] 市民科技YouTuber
[21:25] Creamson也表示
[21:29] Oros Master 16有著比進品更令人
[21:32] 印象深刻的流線設計
[21:35] 同時也得到了PC美進的Editor Choice
[21:37] 編輯首選
[21:40] QQ8與旗下定定與白Oros接獲的
[21:42] 國際獎項與科技媒體的青睞
[21:46] Aros X16為創作者提供強大的
[21:50] 行動工作站功能
[21:52] 而Gaming A16 Pro
[21:55] 重新定義了主流電競效能
[21:58] Oros Master 16為電競玩家提供
[22:01] 不可惜的效能
[22:02] 多家國際知名媒體如Tegreater
[22:05] PC Gamer 居於給予高度評價
[22:07] 肯定穩在AIPC時代的領導地位
[22:11] 凝界奪越的工業設計融合
[22:14] 2026年設計大獎與Festuous
[22:17] 在市場中拖影而出
[22:20] 再來介紹技嘉AI Cup Solution
[22:24] 技嘉AI Cup Solution
[22:26] 由頂尖運算效能
[22:28] 搭載16核高性能CPU與最強悍的顯示晶片
[22:32] 為各種嚴苛的AI工作負載
[22:34] 提供頂級運算動力
[22:38] 還有高度穩定性
[22:39] 通過24小時
[22:44] 極限燒機測試結合80 Plus
[22:47] 80 Plus白金牌
[22:49] 1600瓦電源
[22:52] 能夠確保系統在長時間運作下依然進步可追
[22:56] 還有著月擴充潛能
[22:58] 具備4個 DDR5XX
[23:01] 2組M.2 PCIe 5.0
[23:04] 4.0介面與雙PCIe 16XX
[23:08] 支援未來更大型模型與更多工作需求
[23:12] 在智慧管理與整合部分
[23:14] 透過直觀軟體介面監控陰影狀態
[23:17] 並預先優化100 Plus AI
[23:21] 框架與應用程式
[23:23] 實現從200
[23:24] 200B到400B模型規模的無控運作
[23:30] 頂級記憶體規格配備了
[23:32] 8個 DDR5 R-DIN插槽
[23:35] 支援2 TV的ECC R-DIN
[23:38] 記憶體過充
[23:39] 提供歧視的數據穿柱量與運算頻關
[23:42] 確保排量資料處理時的穩定性
[23:45] 想看風電與三色設計
[23:48] 雙Pause Ply 支援R-DIN主動式散熱
[23:52] 搭配三色加三加三加三
[23:55] 供電架構並相容
[23:57] 雙Pause Ply 設計
[23:59] 搭配獨家的R-DIN主動式雙風扇
[24:02] 徹底解決高功耗下的發熱瓶頸
[24:06] 伺服器及遠端管理
[24:09] S-BIT ST-2600
[24:13] 內建ST-2600控制器與專屬EGB LAN
[24:17] 支援IP-MI協定
[24:19] 以實現遠端診斷與直移值更新
[24:23] 提供數據中心等級的可靠功能
[24:27] 在AI時代電源也是不可破爵的
[24:31] 技嘉電源有AI的專屬擴張性
[24:34] 支援ATX 3.1與兩條
[24:37] 600W PCIe 5.1的輸出
[24:41] 完美驅動多達四組顯卡
[24:44] LCD至人間扣
[24:46] 側邊顯示面板及掌控
[24:49] 掌握功耗溫度與負載
[24:51] 並深度整合AI Cub and FeatLy系統
[24:55] 派經級品質承諾
[24:56] 百分之百日系電容確保
[24:58] 24小時期間
[25:00] 持續穩定運行
[25:01] 提供高達10年的長期保護
[25:05] 並採用先進的淡化加技術
[25:08] 實現體積小
[25:11] 形化的同時確保1600W
[25:13] 高功率輸出與卓越的
[25:16] 64%的轉化效率
[25:19] 再來是技嘉ESC部分
[25:24] 技嘉持續在ESC努力
[25:27] 我們的減碳目標是以2009年的
[25:30] 維基準年減碳50%
[25:33] 此目標是技嘉對減碳的承諾
[25:36] 在進入AI時代
[25:37] 能完成減碳50%之目標
[25:40] 歧視呈現每百萬營收
[25:43] 看排放強度92.9%
[25:46] 代表營收高度成長
[25:48] 每創造百萬營收
[25:51] 要2029年下降92.9%之看排放
[25:56] 在國內有天下
[25:58] 企業雜誌主導之TRIP
[26:01] 企業溫度計評價為升溫1.404度C
[26:06] 超越聯合國氣候變遷委員會設定
[26:09] 必須控制在升溫1.5度C之目標
[26:12] 同時在國內電腦與周邊產業資排名為前3名
[26:16] 成效佐月
[26:18] 技嘉科技集團用水量相較2009年用水量減少
[26:22] 使用32.5%
[26:24] 在營收高度成長
[26:26] 同樣表現優異
[26:29] 在SMP CSA國際永續評鑑
[26:33] 技嘉今年為第三年主動接受評鑑
[26:38] 2025年為66
[26:40] PR值為85
[26:41] 持續進步中在全球電腦與周邊產業液
[26:45] 營業前茅
[26:47] 由全球
[26:49] 是
[26:51] 是
[26:54] 平
[26:55] 風險
[26:57] 點
[26:59] 天氣
[27:01] 零
[27:06] 29年為基準年
[27:10] 溫室氣體排放降低54.4%
[27:14] 減碳承諾每單位營收的碳排量
[27:18] 下降高度92.9%
[27:20] 技嘉承諾讓地球再次綠樣然
[27:23] 2022年
[27:24] 中
[27:25] 維持縱直1萬2968顆數
[27:31] 承諾維持清潔與環保的氣氛與供應
[27:34] 我們將水消耗的強度較2029年基準下降
[27:38] 30.5%
[27:40] 那費氣度強度較2029年基準年
[27:43] 下降的81.7%
[27:46] 那在7月永續的部分
[27:49] 142家投地高達239件的精彩方案
[27:53] 為了催煉出增金
[27:55] 反而遠見邀請了產官
[27:58] 學員各界
[27:59] 共63位重量體評審
[28:02] 分別擔任了14組評審
[28:04] 進行猶如過五關展六項班的嚴格審查
[28:08] 最終有86家企業129件方案殺入為成
[28:13] 最終誕生57家獲獎企業共81件得獎作品
[28:19] 那技嘉
[28:20] 技嘉從AI四不計到智慧路等
[28:22] ESC首相精準管理
[28:24] 今年ESC企業永續講
[28:27] 也凸顯了科技業
[28:29] 正在把AI與數據能力轉化為永續工具
[28:34] 綜合機效電子業
[28:37] 首獎技嘉科技正是代表之一
[28:39] 技嘉以創新科技美化人身為企業宗旨
[28:43] 今年成為AI四不計重要品牌
[28:46] 總經理
[28:47] 技嘉科技集團總經理黎太指出
[28:50] 當各界都在討論AI時
[28:52] 技嘉早在五年前
[28:54] 變投入AI發展
[28:55] 並逐漸延伸至實體應用
[28:58] 技嘉錯過創新科技
[29:00] 解決環境與社會問題
[29:02] 讓AI不只是產業成長動能
[29:04] 也能成為推動ESC的工具
[29:08] 技嘉時序在
[29:11] 從事很多的減量共享愛地球的活動
[29:14] 那這個
[29:16] 供應鏈進攤的活動時序
[29:18] 那目前已經
[29:20] 已經時序的輕盈被棄物
[29:23] 那到目前分析有2818公斤
[29:27] 總共有42加235人參與
[29:30] 那技嘉會持續推動ESC的進展
[29:32] 那以上是針對第一季度的一些營運數據
[29:36] 跟ESC的報告
[29:37] 好謝謝
[29:41] 謝謝柳太元
[29:43] 在解放說明
[29:44] 接下來的時間針對預先提交的
[29:46] 書面問題請公司進行打付
[29:50] 技嘉
[29:51] 營商時序放下立年同期的新高
[29:54] 第一季度營收歪一年成長60%相當
[29:58] 強勁
[29:59] 請問對於2026年下半年的展望如何
[30:02] 有機會比上半年更強勁嗎
[30:06] 目前的過去就是相當的強勁
[30:10] 那對過去的營運發展也非常的完
[30:15] 謝謝李總
[30:16] 技嘉第一季毛利率大約是12%相當的不錯
[30:20] 請問主要是什麼原因
[30:22] 技嘉對於後續的毛利率
[30:24] 展望就是如何
[30:26] 技嘉第一季毛利率提升
[30:29] 主要是高階產品優化的階段
[30:33] 當然我們也很努力再次於成本降低
[30:37] 技嘉有強大且領火彈性的供應鏈夥伴
[30:41] 我想我們技嘉還是會持續努力優化
[30:44] 高階產品組合
[30:45] 並領火調配供應鏈的需求
[30:48] 維持我們的毛利率
[30:50] 謝謝林總
[30:51] 第一季度存貨金額大幅增加到
[30:54] 一千三百六十億億元
[30:56] 請問是因應關鍵領主鍵缺貨的策略性
[31:00] 備貨提高安全庫存損位
[31:02] 還是因為銷售減販導致的
[31:06] 庫存提高主要是因為客戶的需求
[31:10] 那業務採取比較積極備貨的方式
[31:13] 來滿足以確認的地感
[31:15] 所以存貨金額的提高是屬健康的
[31:19] 那依據後續整個需求的情況
[31:22] 目前的庫存金額是沒有問題的
[31:26] 謝謝小副總
[31:27] 今年記憶體CPU都大缺貨大漲價
[31:31] 受到零組件的漲價影響
[31:33] 多數的調研機構都預估
[31:36] 二零二六年的全球PC出貨量
[31:38] 將年減至百分之十到十五percent
[31:42] 這樣的下半年板卡
[31:44] 傳統旺季是否還可以維持呢
[31:48] 目前DIY板卡市場
[31:49] 確實是受到記憶體漲價跟CPU缺貨的雙重
[31:54] 小所以消費者有點觀望的現象
[31:57] 那現在整個DIY官 gaming 市場
[31:59] 是有進入比較特殊的就是單價上漲
[32:02] 但是出貨量下滑的情況
[32:05] 那基本上高階產品的買氣還是存在
[32:09] 並不受影響
[32:10] 那主要是中間階的產品出現地人的現象
[32:14] 那我們的觀察
[32:15] 因為整個來看的話
[32:17] 需求延緩其實不是整個需求消失
[32:21] 只是地點
[32:23] 那在市場價格稍微平穩之後
[32:26] 我們預期整個後續的需求還是會回來
[32:30] 那加上市場還多了整個
[32:32] 那個AI算力的需求
[32:34] 所以我們預期今年的旺季還是可以期待
[32:38] 只是說今年上下半年的落差會比較大
[32:41] 就是下半年的旺季目前看起來的板卡
[32:44] 會比較明顯一點
[32:47] 請問技嘉的AIX產品銷售狀況如何
[32:52] 我們的AIX可是提供那個
[32:54] 中端消費者克制化大型語言模型的解決方案
[32:59] 那同時它可以優化各項參數的模型
[33:02] 同時它可以作為那個模型的地端推
[33:07] 推論應用
[33:08] 那其實現在世界各地大型語言模型
[33:11] 這個運用場景不斷發展
[33:14] 所以其實足不得我們觀察到消費者的需求
[33:17] 跟接受度也提高了
[33:19] 那加上目前各個研究機構還有企業用戶的
[33:23] 需求成長還能夠快速的
[33:26] 我們還看好未來幾年這個AIX TAC
[33:28] 這個產品的需求跟成長空間
[33:32] 謝謝副總
[33:33] 但所謂的Neoclub與傳統大型語言端
[33:37] Hyper Scalar簽訂各種合約
[33:39] 合作合約
[33:40] 且部分Neoclub業者預告
[33:42] 2026年的營收將出現三位數的成長
[33:46] 同時規劃數百美億
[33:48] 即的日本支出
[33:50] 顯示AI範例需求人相當強勁
[33:53] 台灣幾家AI Server的廠商也喊出了
[33:56] 2026年的營收要有三位數的成長
[33:59] 請問一下
[34:00] 技嘉身為此波AI的
[34:02] server領導廠商之一
[34:04] 是否也有信心持續點先
[34:07] 當然我們有信心
[34:09] 我們在T1都已經有稍微什麼成長
[34:11] 需要封面的還是繼續維持這個
[34:15] 動能
[34:16] 技嘉憑著
[34:18] 藉著優異的技術跟
[34:20] 整理解決方案
[34:22] 我們得到客戶的高度信賴
[34:25] 那對於各類型的客戶我們
[34:28] 我們繼續強化跟他們合作
[34:31] 本身技嘉我們產品除了
[34:34] Penton Market
[34:34] Vera Rubin的產品線上面
[34:38] 更進化到幫客戶做到工廠建制
[34:41] 那
[34:42] 讓客戶可以快速的deploy
[34:44] 他們的模組化資料中心
[34:46] 那還有我們提供整理的機櫃
[34:49] 並算的重新
[34:50] 讓客戶很快的就可以
