SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- http://flv.ccdntech.com/vod/_definst_/mp4:vod160/Unimicron/202907291.mp4/playlist.m3u8
VIDEO TITLE: replay
CALL DATE: 07-29-2026
QUARTER: Q2 FY2026
# source label: Unimicron Q2 FY2026 (07-29-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 2697   characters: 17,480

---
[00:00] 時間會出我想
[11:38] 所以我們在7月的負債比
[11:41] 大概會降到52%
[11:44] 展望今年第三季
[11:50] 在AIGPU
[11:53] AI Basic
[11:55] HPC
[11:58] 市場需求強勁
[12:00] 所以我們整體在2026年
[12:03] 不管是載板
[12:05] PCB的纏值
[12:08] 持續上修
[12:10] 高階的廠區
[12:13] 也會配合客戶的需求
[12:17] 進行投產
[12:19] 這個時間點
[12:21] 大概就是在今年第三季
[12:24] 我們的光復二場
[12:26] 第三期的產能會開除
[12:29] 明年
[12:32] 光復二場
[12:36] 在第二季
[12:39] 也會順利的把產能開除
[12:42] 來滿足客戶的需求
[12:44] 所以整體
[12:46] 第三季相較第二季來看
[12:49] 營收是會成長
[12:52] 下半年整體的展望
[12:55] 營收上相對樂觀
[12:58] 在第三季的毛利率上
[13:01] 因為AI高階應用的訂單
[13:05] 暫停增加
[13:07] 載板跟印刷電路板
[13:10] 都有到60%以上
[13:13] 再加上我們會持續透過
[13:16] 製程的優化
[13:18] 還有進行去平緊的產能改善
[13:22] 再加上我們可能會
[13:25] 做一些產品的漲價
[13:28] 來反映產本
[13:30] 所以第三季的毛利率
[13:32] 是有機會交第二季來成長
[13:37] 在資本支出
[13:44] 我們昨天的董事會
[13:46] 通過2026年的資本支出
[13:49] 追加197億元
[13:53] 從原來340億到537億元
[13:59] 還有長焦期的設備
[14:02] 增加175億
[14:05] 由141億
[14:08] 增加至316億
[14:11] 這些資本支出
[14:13] 主要就是對於我們
[14:16] 光復二廠的產能建置
[14:23] 還有就是我們這個
[14:25] 揚眉二廠的建置
[14:31] 因為我們現在的設備
[14:33] 有些交期都比較長一點
[14:35] 所以我們現在必須得
[14:36] 先針對於這種長焦期設備
[14:39] 預下訂單
[14:41] 另外還有我們的揚眉
[14:44] 揚眉的第三個工廠
[14:46] 我們預計也是在今年底
[14:49] 到明年初
[14:51] 我們也會來動工新建
[14:53] 第三個工廠
[14:57] 我想這些擴廠的計畫
[14:59] 都是跟我們主要
[15:01] 這些AI核心的客人的需求
[15:04] 緊密的合作配合
[15:08] 預計我們這個折舊
[15:11] 在2026年
[15:13] 預估大概是208億元
[15:16] 相較2025年
[15:19] 183億元
[15:20] 大概是增加25億元
[15:22] 整體的駕動率方面
[15:29] 我們的這個載板
[15:34] 載板有這個
[15:36] ADF的部分
[15:38] 是維持在90%以上
[15:41] 那BT的部分
[15:46] 是維持在
[15:48] 80%到85%
[15:51] 這個區間
[15:54] 在PCB事業部
[15:56] HDI跟PCB的部分
[15:59] 這兩個產品
[16:03] 我們的駕動率
[16:04] 估計
[16:06] 第二劑是在85%到90%
[16:09] 左右
[16:18] 那這對於我們的這個產品
[16:20] 這個比重
[16:21] 剛剛有提到
[16:22] 我們的這個載板
[16:24] 這個AI產品的占比
[16:26] 大概超過
[16:27] 上半年超過60%
[16:29] 那下半年
[16:30] 有機會會提升到70%
[16:34] 那這些AI的產品
[16:36] 就包括這個
[16:38] 這個GPU
[16:39] 還有AI ASIC
[16:41] 跟這個SERVER的CPU
[16:44] DPU
[16:45] 還有這個AI networking
[16:47] 相關的產品
[16:51] PCB的AI產品
[16:53] 上半年的這個營收占比
[16:56] 大概在60%以上
[16:58] 那下半年
[16:59] 有機會會提升到
[17:01] 65%到70%
[17:03] 那主要的這個產品
[17:05] 也是這個AI系統版
[17:07] 還有這個1.6T
[17:10] 還有800G的這個光常訊模組
[17:18] 那這個大概是我
[17:19] 針對於這個財報
[17:21] 還有就是工廠近期的
[17:23] 一些狀況
[17:24] 跟這個投資先進
[17:27] 做說明
[17:28] 那
[17:29] 接下來談
[17:31] 談是不是投資先進
[17:33] 有什麼問題
[17:34] 那我們進行Q&A的部分
[17:37] 那個
[17:40] 這個中部長
[17:41] 這是Jerry
[17:43] Jerry Morgan
[17:44] 跟
[17:45] 跟進你剛才提到那個
[17:47] 陽梅山長
[17:48] 因為我們講這個說
[17:49] 你這種
[17:50] 各個場區的排序
[17:52] 可能到陽梅山長
[17:53] 開出來都已經可能是
[17:54] 2029或2030
[17:57] 那我們就好奇說
[17:59] 是有公司有看到
[18:01] 什麼樣的機械
[18:02] 或跟客人有什麼樣的討論
[18:04] 那我們做這個決定
[18:05] 就是說可能要
[18:06] 有一個這麼運氣的規劃
[18:08] 這是我第一個問題
[18:15] 因為今天我們的行銷長
[18:17] 那個Jerry
[18:19] 是他部長
[18:20] 也在現場
[18:21] 我想有關於客戶這一段
[18:23] 有答應
[18:25] 對於陽梅山長
[18:27] 其實
[18:28] 我們跟
[18:29] 我們的客人客戶
[18:31] 這對客定的
[18:33] Generician的產品
[18:35] 在做產品的準備跟規劃
[18:37] 所以其實
[18:39] 我們已經有
[18:40] 相當明確的標準
[18:42] 到進行投資
[18:44] 包括這些產品的準備
[18:46] 還有我們要使用的
[18:48] 這些技術的平台
[18:49] 我們大概都已經討論完畢
[18:51] 所以
[18:52] 應該
[18:53] 沒有太多的疑慮
[18:55] 因為我們也就了解
[18:56] 就是說在XPU
[18:57] 這樣子不同的
[18:58] 尤其是在
[18:59] 我們民觀客戶的這個來講
[19:00] 他們每一個Generician
[19:02] 他們的產品的推出
[19:04] 都是有固定的時辰
[19:06] 還有他們要達到
[19:07] 固定的產品的功能
[19:08] 所以這些東西都是
[19:09] 跟他們的節點
[19:11] 是完全不同的
[19:13] 就是顏思明
[19:14] 那個老副總剛剛講的
[19:15] 就是說
[19:16] 我們
[19:17] 可能現在
[19:18] 所謂的策略科
[19:19] 你夠這樣
[19:20] 解讀那種過度
[19:22] 就是說
[19:23] 感覺好像有一位是
[19:24] 會比較是屬於GP
[19:25] 有一位是比較屬於Ace
[19:27] 那我就好奇說
[19:28] 你們是就是跟
[19:29] 所以意思我們也講說
[19:30] 陽梅山長會很會
[19:32] 這兩位客人會行
[19:33] 我們倒不會這樣子
[19:35] 來做分類
[19:36] 我們會這樣看
[19:37] 就是說
[19:38] 我們在這個
[19:39] 通用型的捨入群上面
[19:40] 我們會有一個
[19:41] 非常有
[19:42] 堅強的長期的
[19:43] 合作夥伴
[19:45] 那他可能會是在
[19:47] GPU配一塊
[19:49] 那也可能會在GPU
[19:51] 也可能在內容
[19:52] 也就是說在
[19:53] 通用型的這個部分
[19:54] 我們是有幾個
[19:55] 蠻穩定
[19:57] 然後很長期
[19:58] 一起合作發展的
[20:00] 接萬的客戶
[20:01] 那另外
[20:02] 我們可能就比較不看
[20:04] Ace的
[20:05] 我們會比較看
[20:06] 直接看群端的
[20:07] 這些hyper-stilers客戶
[20:09] 那我們也有
[20:10] 客戶
[20:11] 有他們
[20:12] 特定的一些
[20:13] 專案的動作在進行
[20:15] 因為他們在這些
[20:16] 上用模式上面
[20:17] 他們已經開始在
[20:18] 往這個COC的方向了
[20:20] 那他們也是
[20:21] 一步一步按照
[20:22] 這個時間點的推進
[20:24] 然後來擴大他們的
[20:25] 在這個
[20:26] 自己能夠控制的
[20:27] 自言經驗
[20:28] 可是採購的 percentage
[20:31] 那在這個過程當中
[20:32] 他們就開始慢慢去
[20:33] 建立他們
[20:34] 自己的公益面的關係
[20:36] 還有他們自己準備
[20:37] 他們在未來
[20:38] 需要的產能
[20:40] 所以大概是
[20:41] 透過這樣的方式
[20:42] 來進行這個部分合作
[20:44] 那我這邊最有問題
[20:45] 就是說我想
[20:46] 關於那個EMIT
[20:48] 這個技術
[20:49] 因為我不知道
[20:50] 以前的理解是不是錯
[20:52] 我就說我感覺上
[20:53] 這個客人以前
[20:54] 他的先進的產能
[20:55] 或者說
[20:56] 他主要產能都
[20:58] 好像跟別人的客人
[20:59] 都有一點
[21:00] 不是公通性那麼大
[21:02] 所以假設要用到別人客人
[21:03] 需要多
[21:04] 化一些實驗品
[21:05] 做一個conversion
[21:06] 那你們覺得說
[21:07] EMIT之後
[21:08] 還是這個狀況嗎
[21:09] 那假設這樣的話
[21:10] 我們如何去
[21:11] 控制這個方面的風險
[21:13] 這樣子
[21:14] 好
[21:15] 在EMIT的
[21:17] 這件事情上面
[21:19] 我們到
[21:20] 不把它看成是
[21:21] 一個單檢的
[21:22] 客戶或是單檢的投資
[21:24] 應該是說
[21:25] 我們在先進風裝上面
[21:27] 我們需要去
[21:28] 多角度
[21:29] 多遠去準備好
[21:30] 我們客戶的需求
[21:31] 所以
[21:32] 當我們在看待
[21:33] EMIT的P的時候
[21:34] 我們更重要的是看到
[21:35] 想要使用這個技術平台的
[21:37] 週專客戶是誰
[21:39] 因為這可能是他
[21:40] 某一個generation的
[21:41] 層面
[21:42] 但是他不會是
[21:43] 永遠的層面
[21:44] 所以換句話說
[21:46] 可能
[21:47] 大家對於EMIT的P
[21:48] 比較
[21:49] 既定的印象是
[21:50] 他是屬於
[21:51] 某一個公司的
[21:53] 他的IP
[21:54] 可是事實上
[21:55] 我們在看待這個技術的時候
[21:56] 就像我們在
[21:57] 看待CORRAS
[21:58] 印文一樣的
[21:59] 我們不會只把它當成是
[22:01] 我們台灣最
[22:03] 了不起的技術
[22:04] 其實我們還是看
[22:05] 這個技術他背後
[22:06] 服務的客戶是誰
[22:07] 那客戶在什麼時間
[22:09] 節點需要用到
[22:10] 這個技術來解決
[22:11] 他在AI上面的一些問題
[22:13] 去提升他的算力
[22:15] 達到他想要的成功
[22:17] 所以我們
[22:18] 如果以風險來講的話
[22:19] 其實
[22:20] 如果我們能夠
[22:21] 把它當作
[22:22] 當作是我們好幾個客戶
[22:23] 要服務客戶裡面的
[22:25] 其中的一個技術
[22:26] 不是那麼的
[22:27] 翻純
[22:28] 絕對
[22:29] 其實我覺得這個風險
[22:30] 這塊我們就
[22:31] 不會這麼去擔憂了
[22:33] 因為我們在
[22:34] 所有的客戶的
[22:35] 佈局是很完整
[22:36] 因為我們其實
[22:37] 在之前我們也有
[22:38] 蠻多的交流
[22:40] 就是說
[22:41] 我們在AI的客戶局裡面
[22:42] 我們的佈局
[22:43] 到沒有那麼的
[22:44] Focus
[22:45] 我們的通識
[22:46] 非常百分之百
[22:47] 所以我們會
[22:48] 對於不同的
[22:49] 在不同百分之百的
[22:50] 產品應用的客戶裡面
[22:52] 他能想到
[22:53] 能先進的
[22:54] 裝備技術裡面
[22:55] 去跟他們一起做
[22:56] 協作
[22:57] 一起去把這個
[22:58] 這個問題
[22:59] 這個Permission
[23:00] 把它做完整的
[23:01] 進行方案
[23:02] 當然在這過程當中
[23:03] 我們也會
[23:04] 必有我們自己
[23:05] 很多未來的一些
[23:06] 新的技術的Building Block
[23:07] 那我們就會
[23:08] 在這樣不同的
[23:09] Building Block上面
[23:10] 我們還會產生
[23:11] 我們自己的innovation
[23:12] 我們自己的
[23:13] 一些進度
[23:14] 這樣的創新
[23:15] 因為延伸這個
[23:16] 還有一個問題
[23:17] 就是說我想好幾句說
[23:18] 因為
[23:19] 就是說目前
[23:20] 但我們都知道
[23:21] EMVT
[23:22] 大家都知道
[23:23] 之後的
[23:24] 大的案子
[23:25] 會不會確定使用
[23:26] 那相信很多
[23:27] 我相信公司
[23:28] 可能也跟很多客戶
[23:30] 在討論這個方面
[23:31] 那我就很好奇說
[23:33] 到底是不是說
[23:34] 有一個很
[23:35] 很conquering
[23:36] 很一個非常
[23:37] 已經確認的一個
[23:38] 就是說下一個
[23:39] 或下幾個大的案子
[23:41] 這個什麼時候
[23:42] 會確定用EMVT
[23:44] 這個你覺得
[23:45] 目前有這個看法嗎
[23:46] 還是說其實早就已經
[23:47] 當天推廣
[23:48] 你早就已經覺得說
[23:49] 這已經是
[23:50] 即便形成的一個現象
[23:53] 其實客戶要
[23:54] 決定導入一個技術不容易
[23:56] 所以大家應該也可以了解
[23:58] 客戶他應該至少會連續
[24:00] 三個階段的討論
[24:01] 請留下這個解決
[24:02] 可以再上
[24:37] 公立台幣你們好
[24:38] 我是Move in Siamese Howard
[24:39] 前幾個housekeeping的問題
[24:41] 你們你們
[24:42] 這次好像產品組合
[24:43] 有一些改變
[24:44] 那可以請問一下就是
[24:47] AI data center
[24:48] 應該大家都知道
[24:49] 但是
[24:50] LT communication
[24:51] 這裡面包含什麼的
[24:52] 產品科技
[24:53] 請你們跟我講一下
[24:54] 謝謝
[24:55] 這次的分類
[25:04] 我們做了一些改變
[25:06] 那這個IoT的部分
[25:08] 大概就是指這個
[25:10] PCNV
[25:11] 這些相關的一些
[25:13] 產品
[25:14] 還有一些消費型的產品
[25:16] 那可輸入相關
[25:22] 所以手機也是在這裡面嗎
[25:26] 手機是在
[25:27] common location
[25:28] 手機在common location
[25:30] OK
[25:31] 好謝謝
[25:32] 那另外是可以請問一下
[25:34] 你們第二季那個ABF
[25:36] 跟BT的營收
[25:38] 就是分別成長
[25:39] 22%跟減少30% QoQ
[25:42] 可以請
[25:44] 您跟我們分享一下就是
[25:46] 數量跟價格
[25:48] 的QoQ這個變動
[25:50] 怎麼去看
[25:51] 您指的是
[25:56] 我們這個第二季的部分
[25:58] 對
[25:59] 我們
[26:02] 我這裡沒有一個
[26:04] 實際的一個數字
[26:06] 就是說價格
[26:07] 跟這個數量的一個變化
[26:09] 那整體來說
[26:11] 就是在數量跟價格
[26:13] 它其實是同步增加的
[26:15] 增加的
[26:17] 那至於說這個中間的比率多少
[26:19] 我這裡沒有
[26:20] 沒有
[26:21] 好沒問題謝謝
[26:23] 那另外就是你們第二季的毛利
[26:25] 其實提升非常多
[26:26] 大概60%以上
[26:28] 那
[26:30] 可以請您跟我們分享一下
[26:32] 這主要的
[26:34] 比如說加工率
[26:36] 或者是
[26:37] 價格的提升
[26:38] 就是這些有
[26:39] 有一個 breakdown
[26:41] 這個
[26:43] 成長這個
[26:45] 大概
[26:46] 6%
[26:48] 6%
[26:49] 我想
[26:50] 有大概超過一半
[26:52] 大概主要是因為
[26:54] 我們整體的這個
[26:56] 這個架動率
[26:58] 往上
[27:00] 然後
[27:01] 另外一個就是我們在
[27:03] 剛有提到在相關的一些成本
[27:06] 然後
[27:07] 我們跟客戶有
[27:08] 調整了一些這個售價
[27:10] 那當然還有一些
[27:12] 其他像
[27:13] 近期的我們的這個
[27:15] 不管是在良率
[27:17] 還有這個存貨的一些
[27:19] 就是
[27:20] 改善上
[27:22] 也有進步
[27:24] 這個是一個在毛利
[27:26] 它影響的這個因素
[27:28] 比較多
[27:29] 比較
[27:30] 比較多
[27:31] 所以我
[27:33] 確認一下就是
[27:35] 50%是因為
[27:37] 產品利用率的提升
[27:39] 然後在接下來的50%
[27:41] 價格影響的比較多
[27:43] 然後再來是產品組合
[27:45] 對
[27:46] 我修正一下
[27:48] 那個價格有50%以上
[27:51] 有50%
[27:53] 那另外其他的
[27:55] 大概就是剛剛講到的
[27:57] 架動率啦
[27:58] 產品組合啦
[27:59] 還有這個良率啦
[28:01] 另外
[28:02] 還有50%
[28:04] 謝謝
[28:06] 那
[28:07] 另外我想問一下就是
[28:09] 接著剛才那個
[28:11] 投資人問的就是
[28:12] EMIBT這邊
[28:13] 我記得以前
[28:14] EMIB的良率不是很好
[28:16] 那
[28:17] 可以請問一下
[28:18] 你現在在研究EMIBT
[28:20] 良率一是
[28:21] 就是從良率方面
[28:23] 有比較明顯的改善嘛
[28:26] 那第二是
[28:27] 你們在
[28:28] 擴EMIBT的產能之後
[28:30] 有看到任何的設備
[28:32] 有
[28:33] 利碳會比較長嗎
[28:39] 那個在EMIBT
[28:41] 其他最關注的還是在
[28:43] 良率這一塊
[28:44] 我必須要講這個平台
[28:46] 這個技術
[28:47] 它的確沒有這麼的成熟
[28:49] 而且我們是在一個
[28:50] 很短暫的情況下
[28:52] 要直接把它
[28:53] bring up 起來
[28:54] 然後成為一個
[28:55] 要面對非常產的
[28:56] 一個技術的工臺
[28:57] 所以其實我們現在
[28:58] 大家
[28:59] 應該除了我們之外
[29:00] 另外還有兩家日本工藝廠
[29:02] 我們都非常積極的
[29:03] 在做這些技術的開發
[29:05] 然後再做
[29:06] 封面之後去的這些發育器
[29:08] 那真正的量產
[29:09] 會發生在明年
[29:11] 所以我們大概還有一段時間
[29:12] 來做這個良率
[29:14] 那我們初步
[29:15] 在做這個良率的target的話
[29:17] 我們第一步
[29:18] 會先把它放在
[29:19] 良率大概是在 50%
[29:20] 這是我們的
[29:21] 第一個費用
[29:22] 所以
[29:23] 在我們這個
[29:24] Echo System 裡面
[29:25] 我們三家
[29:26] 擺廠都先移入 10% 良率
[29:28] 做有低的階段的做比較
[29:30] 那後續的話
[29:31] 我們還要再往上降下
[29:32] 但是這個在明年
[29:33] 我們開始
[29:34] 半月量產的時候
[29:35] 這是我們第一個的
[29:36] 一個目標
[29:37] 良率
[29:38] 那另外還有一個問題
[29:39] 有談到說
[29:40] 這個技術上面
[29:41] 是不是會有一些
[29:42] 設備
[29:43] 會遇到一些發酵內
[29:44] 會也確實
[29:45] 也確實是
[29:46] 有一些關鍵的設備
[29:48] 當然
[29:49] 在目前來講
[29:51] 我們還是透過一個
[29:52] 中間的
[29:53] 可以整個機制
[29:55] 在我們和另外
[29:56] 另外兩家
[29:57] 這個工藝商之間
[29:58] 我們大家做一個調配
[30:00] 那這些設備的
[30:02] 產值開出
[30:03] 目前來講
[30:04] 我們是
[30:05] 到了就是
[30:06] 客戶插票的一個
[30:07] 一個節奏
[30:08] 那我們現在也還在
[30:09] 試圖在這些
[30:11] 關鍵的設備上面
[30:12] 去尋求
[30:13] 第二家 第三家
[30:14] 和第四級的設備
[30:16] 這些事情
[30:17] 我們現在也都在
[30:18] 經濟的進行當中
[30:21] 謝謝
[30:22] 那我最後一個問題
[30:23] 是想請問
[30:24] 就是 T-Bus
[30:25] 因為現在管全
[30:26] 但是
[30:27] 就是你們也有在
[30:28] 試別的場上
[30:29] 那可以請問你們在
[30:30] 這個部分的一些進展
[30:32] 是怎麼樣嗎
[30:33] 謝謝
[30:35] 我們目前這一塊
[30:36] 進展還順利的
[30:37] 還順利的
[30:38] 不管是在
[30:39] 波銜戶的部分
[30:40] T-Bus
[30:41] 或是 CTO的部分
[30:42] 我們都有一些
[30:44] BCP的計畫
[30:45] 跟客戶都
[30:46] 已經在
[30:47] 季節進行當中之外
[30:48] 我們有一些
[30:49] BCP的
[30:50] 共繳的組合
[30:51] 大概目前來講
[30:52] 已經量強了半年
[30:53] 那在良率
[30:54] 或是一些
[30:55] 我們B的
[30:56] 以上面的表現
[30:57] 差異不大
[30:58] 就是透過一些
[30:59] 產品類型的
[31:00] 去調整
[31:01] 比如說我們可以
[31:02] 把一些
[31:03] Entry Level的東西
[31:05] 把它放在
[31:06] 我們BCP的
[31:07] 這些材料上面
[31:08] 那我們讓我們
[31:09] 原來的
[31:10] 共繳上面
[31:11] 原來原始的
[31:12] POR的
[31:13] 這些調配的方法
[31:14] 我們就盡量
[31:15] 用在比較
[31:16] 比如說高
[31:17] 高層數
[31:18] 比較大的
[31:19] 巴基大理系
[31:20] 或是說在
[31:21] Core R10上面是比較
[31:22] 複雜的Core R10L
[31:24] 這樣子的一個
[31:25] 一個技術上面
[31:26] 那我們也會內部
[31:27] 做一些調整
[31:28] 來做就是
[31:29] 實體讓
[31:30] 這整個的
[31:31] 我們的材料
[31:32] 工藝能夠看起來
[31:33] 透過我們大家的一些優化
[31:35] 還有我們早期的一些溝通
[31:37] 和安排能夠做得更順暢
[31:45] 觀眾好
[31:46] 我是那個HSBC的Ted
[31:47] 兩問題想要請教
[31:49] 第一個就是
[31:50] 回到我們乾手的
[31:51] Pronomics
[31:52] BT的部分
[31:53] 因為公司之前
[31:54] 有按是說
[31:55] 不排除
[31:56] 轉換一些BT的
[31:57] 成人到ABF
[31:59] 所以我想問
[32:00] 這個第二季BT QOQ下法
[32:02] 是否已經有發行說
[32:04] BT產業的轉換
[32:05] 那如果沒有的話
[32:06] 公司是否還有
[32:07] 打算說在今年
[32:09] 年底前
[32:10] 做這方面的轉換
[32:12] 好
[32:13] 說明一下
[32:14] 其實我覺得
[32:15] 這個我們在做
[32:16] 它的比例的時候
[32:18] 我們還是用Revenue
[32:19] 來做一個Percentage
[32:21] 所以當然在ABF
[32:23] 這一塊
[32:24] 它的價值的提升上面
[32:25] 也會快速的發大
[32:27] 放大
[32:28] 它的表現
[32:29] 它的Location的表現
