SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- http://irconference.twse.com.tw/2356_231_20260512_ch.mp4
VIDEO TITLE: TWSE irconference replay
CALL DATE: 05-12-2026
QUARTER: Q1 FY2026
# source label: Inventec Q1 FY2026 (05-12-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 1505   characters: 12,651

---
[00:43] 時間到 那我們開始
[00:46] 各位投資先進朋友午安 大家好
[00:49] 我是富邦投資為了下遊硬體的分析師Titan
[16:28] 我們其實第一劑算還算滿lucky的
[16:30] 我們整個over是成長的
[16:31] 量是成長
[16:32] 第二劑來講應該是會持平
[16:34] 後面第三劑第四劑
[16:35] 目前看起來是偏向比較
[16:38] 保守的估計
[16:39] 應該我們估計可能是會往下降
[16:41] 那對音樂來講
[16:43] 其實整年度來講
[16:44] 我們認為應該是
[16:46] 整個PC的量應該是持平
[16:48] 或是比較各位數的往下調整
[16:52] 這個數量部分
[16:53] 但是以單價來講
[16:54] 因為一些key component都漲降
[16:56] 所以營收部分來講是會成長的
[17:01] OK了解
[17:02] 那我們是可以預期
[17:04] 今年度整個business segment
[17:08] 可能會有一些變化
[17:09] 我的意思就是
[17:10] 在伺服器這一塊
[17:11] 是不是有可能超過一半
[17:13] 或者是跟PC這一塊
[17:15] 會有一些比較明顯的
[17:17] 其實今年其實不管是伺服器
[17:20] 或是PC
[17:21] 我們內部的評估都是成長的
[17:23] 整個over來講都是成長
[17:24] 但是伺服器的成長
[17:26] 應該會比PC成長比較快
[17:28] 換一點
[17:29] 所以有可能會超過50%
[17:31] 好的了解
[17:33] 第三個問題想請問一下
[17:37] 櫻花蘭總經理
[17:38] 陳柏臻總經理
[17:40] 在IC的部分
[17:42] 不知道今年或明年
[17:43] 我們有沒有什麼計畫跟布局
[17:45] 可以跟大家分享
[17:47] 那我這邊回答一下
[17:48] 我們整個智慧營裝
[17:50] 是在2022年預估會有各位數成長
[17:52] 那今年成長叫做是IoT
[17:54] IoT的通訊模組
[17:56] 那我明年會計畫新增
[17:58] 面向中小企業的AGE AIBOX
[18:00] 作為新的產品線
[18:02] OK
[18:07] 好的
[18:08] 謝謝
[18:09] 陳總經理
[18:10] 那IoT請問線上有人
[18:12] 有投資先進
[18:13] 你們有提問了嗎
[18:15] 目前沒有看到
[18:17] 有投資先進留下問題
[18:19] 那太太您這邊可以
[18:21] 我這邊看到有一位Albert
[18:23] 那Albert可以請您
[18:24] 接觸經營提問
[18:26] 謝謝
[18:27] Hello
[18:31] 關底層您好
[18:32] 我是GP Morgan Albert
[18:34] 第一個問題想再多問一下
[18:36] 那個server的部分
[18:38] 因為剛剛關底層有提到說
[18:40] 這個
[18:41] 今年的server的營收比重
[18:44] 有可能到50%
[18:46] 那PC的話
[18:48] 也有給一個概念
[18:49] 那就可能
[18:50] 虛門持平到小調
[18:52] 那營收會增加
[18:54] 那這樣算起來
[18:55] 就是如果server要在這樣的情況下
[18:57] 達到50%
[18:59] server今年的WIOWI
[19:01] 應該要超過5成
[19:03] 甚至逼近6成
[19:05] 那我不知道說
[19:06] 這樣子的
[19:07] 我們這樣子的解讀
[19:09] 跟你們從內部的規劃
[19:12] 或從客戶那邊看到的狀況
[19:14] 是不是一致
[19:16] 應該是沒有超過5成
[19:20] 以我目前的占比來講
[19:22] 其實
[19:24] 以內部至於目前的營收來講
[19:26] 應該是沒有超過5成
[19:27] 那超過3成是for sure一定有的
[19:30] 懂
[19:31] 非常謝謝
[19:32] 那可不可以跟我們分享一下說
[19:35] 在server裡面
[19:36] AI server我記得之前有提到說
[19:39] 占整個server30%
[19:42] 那今年的話目標
[19:44] 是要超過50%的增加
[19:47] 那
[19:48] 所以
[19:49] 我們應該怎麼去解讀
[19:51] 這中間的mix
[19:53] 因為如果
[19:54] 30%要增加50%
[19:56] 它就貢獻了15%
[19:58] 那剩下70%
[20:00] 就代表說
[20:02] 至少要再增加20%
[20:04] 就general server這邊至少再增加20%
[20:06] 那你整個server才有可能超過30%
[20:09] 所以我們應該怎麼去解讀
[20:11] 這個AI server成長跟general server成長
[20:14] 它的相對的比較
[20:18] 其實AI server成長沒有
[20:22] 我們講說整體都成長
[20:24] 但是AI server成長到
[20:26] 超過50%
[20:27] 其實應該是沒有超過50%
[20:29] 以今年我們來看來
[20:30] 是不會超過50%
[20:31] 因為我們在
[20:32] 就通行的server部分的成長力
[20:35] 蠻高的
[20:36] 所以其實
[20:37] 整個AI server的部分
[20:39] 是不會超過50%
[20:40] 了解
[20:42] 所以如果AI server不超過50%
[20:45] 它貢獻少於15%
[20:47] 那代表我general server成長
[20:50] 肯定是超過20%
[20:52] 甚至畢竟30%
[20:54] 那可可共門分享
[20:55] 在這裡面有多少是出貨
[20:58] 那有多少是AESP上的增加
[21:00] 出貨的成長
[21:05] 出貨量應該有
[21:07] 20%
[21:09] 出貨應該
[21:10] 出貨以礦體外
[21:11] 應該超過20%成長
[21:13] 那以revering wise來講
[21:15] 其實over來講應該是
[21:17] 超過三成
[21:19] 了解
[21:20] 非常清楚
[21:22] 那在關於AI server的部分
[21:24] 可不可以再跟我們分享一下
[21:26] 說今年這個AI server
[21:28] 我們看到主要的成長的動能
[21:31] 是來自說
[21:32] 可能大陸這邊的客戶
[21:35] 還是說我們美國這邊
[21:36] 有一些新的project
[21:38] 那我們過去在
[21:40] 可能
[21:41] 大卡的服務器
[21:43] 佔比比較高
[21:45] 那NVIDIA 72這邊
[21:47] 可能投資相對沒那麼多
[21:49] 那這部分
[21:50] 在今年AI server的
[21:52] Pipeline上面有看到什麼明顯的變化嗎
[21:56] 整體的比重來講
[21:57] 還是大陸客戶的占比
[21:58] 會比較高
[22:00] 那針對美國那些的客戶
[22:02] 或其他TG客戶來講
[22:03] Near Cloud那部分
[22:04] 我們其實也在努力
[22:05] 所以那部分比例會
[22:07] 會有點提升
[22:08] 但是整體來講
[22:10] 最主要大卡那四家
[22:12] CSP來講
[22:13] 他們都有他們基定的供應商
[22:15] 所以
[22:16] 我們當然找T2T2
[22:17] T2T2所以的一些
[22:19] 供應商去approach就對了
[22:23] 懂懂就是我們今年AI
[22:25] 成長可能還是Near Cloud
[22:27] Audient Direct的模式
[22:28] 就是有一些會進來
[22:29] 那China這邊
[22:31] 成長力道比較強
[22:32] 那大4 CSP
[22:33] 我們可能就在觀察這樣子
[22:36] 對對對
[22:37] China目前在我們AI
[22:39] 這邊的比例大概多少
[22:41] China占AI server的比例是不是
[22:46] 是
[22:47] 就您剛提到說
[22:48] 今年AI這邊China還是
[22:50] 比中比較高
[22:52] 如果占整AI server比例
[22:54] 應該超過五成
[22:56] 了解懂懂你一直
[22:58] 那我還有其他問題
[23:01] 但我也問
[23:02] 我想說我先把
[23:03] 那個時間交回去給其他人
[23:05] 那待會有機會的話再問
[23:07] 謝謝
[23:09] 謝謝Albert
[23:10] 那下一個提問來自於Angela
[23:12] Angela請您按multi-tive
[23:14] 謝謝
[23:15] 那管理層你們好
[23:25] 請問聽聽我的聲音嗎
[23:26] 可以
[23:27] 謝謝
[23:28] 謝謝介紹我的提問
[23:30] 其實我也想要
[23:31] 跟公司請教一下
[23:33] 因為我們其實在server
[23:35] 或者AI server
[23:36] 在反卡跟系統的出貨
[23:39] 其實是比較mixed的
[23:41] 那這可能也會影響到
[23:43] 我們在毛利率的一些方向
[23:46] 比較不容易直接從
[23:48] server的in-show去退伍
[23:50] 那所以請教一下
[23:52] 就是說你現階段來看
[23:54] 比如說
[23:55] BG這個反卡L6的比重
[23:59] 大概是佔多少
[24:00] 因為我們大概知道
[24:01] 中國是不是
[24:02] 大概都可以解讀成是系統
[24:05] 那剩下的可以都
[24:07] 像是一個L6比較多的
[24:10] 這個狀況
[24:11] 那如果是
[24:13] 未來的方向
[24:14] 這個2026至2017年
[24:17] 我們公司在整個
[24:19] L6的系統的這個比重
[24:21] 變化砂變會怎麼樣
[24:23] 再一個來變動
[24:25] 這是我的激動問題
[24:27] 謝謝
[24:29] 目前來講
[24:30] 其實以數量來看的話
[24:32] 反卡比重
[24:33] 在音樂來講
[24:34] 還是比較高的
[24:35] 那所以我們反卡比例比較高
[24:37] 針對整個系統來講
[24:39] 是比較少的
[24:40] 就剛剛講說
[24:41] 一些中國客戶的一些
[24:43] 整機的出貨
[24:44] 當然我們還有一些
[24:45] 其他客戶也做整機的出貨
[24:47] 整貨整個L10的出貨
[24:49] 那比例來講
[24:50] 反卡還是遠大於整個
[24:53] 系統的組裝的出貨
[24:55] 那至於後續來看
[24:57] 看2026至2017年來講的話
[24:59] 其實
[25:00] 我們在反卡上面的比重
[25:03] 還是會持續增加
[25:05] 不然整個都會增加
[25:06] 我們講說整個系統跟
[25:08] 以反卡本身來講
[25:10] 其實我們看到的量是會增加
[25:12] 那系統部分來講
[25:13] 當然Dependence
[25:14] 跟客戶的Oprogram部分
[25:15] 那這一部分其實
[25:16] 我們也是有增加
[25:19] 所以兩個直增加幅度
[25:21] 可能是不太一樣
[25:22] 反卡增加的比例來講
[25:24] 可能會相對來講高一點
[25:28] 李姐
[25:29] 那我順便問
[25:30] 就是如果以DG的角度來看
[25:33] 因為我們的Service比重
[25:34] 是比上一季提高的
[25:37] 但是這個毛利率的方向
[25:39] 就是並沒有比上一季高
[25:42] 那這個剛剛採用長
[25:43] 前面解釋說
[25:44] 在裡面的subsegment裡面變化
[25:47] 那我們可不可以再瞭解一下
[25:49] 如果以DG的狀況是
[25:52] 這個裡面的比重是
[25:55] 影響怎麼樣的方向
[25:56] 然後對毛利率
[25:57] 是不是有一個critical的影響
[25:59] 對毛利率來講
[26:03] 以DG來講
[26:04] 看起來是沒有太大的影響
[26:07] 因為畢竟來講
[26:08] DG我們整個整系
[26:09] 系統整計出貨的比重來講
[26:11] 還不是很高
[26:13] 那後續看的話
[26:15] 往後續看
[26:16] 如果我們想要追求整個營收
[26:17] 或追求整個整個系統的客戶
[26:20] 來講
[26:21] 那一部分的毛利率
[26:22] 應該會受到一些影響
[26:24] 意思是說
[26:27] 比如說像你講
[26:28] 是我問明明
[26:29] 有一些要多的系統進來的時候
[26:31] 毛利率又會
[26:33] 稍微被形式的狀況出現
[26:36] 是
[26:37] 沒錯
[26:38] 如果系統做越多的話
[26:39] 我覺得毛利率
[26:40] 應該會往下
[26:42] OK
[26:44] 那接下來問題
[26:46] 就是想問一下Essig
[26:49] 那我們其實
[26:51] 應該也有一些類似
[26:53] Arm-Jungle的行業
[26:54] 或者是Essig的Project
[26:56] 可以大概
[26:57] 跟我們聊聊
[26:58] 比如說就產業的方向來講
[27:00] Essig的
[27:01] 想法的
[27:02] 未來的方向
[27:03] 就是我們知道
[27:04] 很多CHP都往這方向在開
[27:07] 那我們這邊是不是也會
[27:09] 跟著產業的趨勢
[27:10] 在Essig這邊的方向
[27:12] 也會有比較多的Project
[27:14] 進到我們的貢獻裡面
[27:16] 那如果Essig來講的話
[27:17] 它是以R6的出貨為多
[27:20] 還是系統
[27:21] 那這個產品的毛利率
[27:23] Versus Server的平均值
[27:25] 相對是比較正面
[27:27] 還是說還是有一些
[27:29] 搭載Essig
[27:30] 謝謝
[27:31] 謝謝
[27:32] Essig是這樣子
[27:34] 其實會開Essig一定
[27:36] 一定是客戶的Scale夠大之後
[27:38] 客戶只要去開Essig晶片
[27:40] 所以基本上北美的
[27:42] 我們講說四大
[27:43] 也許我們講報章大家都有
[27:45] 所以四大來講都會開自己的Essig
[27:47] 至於你T2 T3
[27:49] 或是我們講更小的一些
[27:51] 一些CSP來講
[27:52] 它其實Scale沒有那麼大
[27:54] 所以我不認為它會太Essig
[27:56] 那它就用所謂的一些general purpose
[27:58] 或是用一些AI server
[28:00] Standard東西去買
[28:03] 那些東西就對了
[28:04] 所以它不見得會去開
[28:05] 所以Essig應該比較偏向
[28:07] 大的CSP
[28:09] 量夠大它會去開
[28:11] 那至於說Essig其實
[28:13] 我們對我們內部來講
[28:14] 其實差不多跟版卡是一樣的
[28:16] 如果出版子的話
[28:17] 大家跟一般的
[28:18] 一般的server的那個毛率
[28:20] 就會差不多
[28:21] 那出系統來講
[28:22] 它的毛率就往下降
[28:26] 那所以這個是不是也會看到
[28:29] 接下來Essig的頂中
[28:31] 對公社貢獻也會
[28:33] 明顯的打發到
[28:35] 在未來譬如說到明年的角度
[28:37] 要開
[28:38] 我們其實應該這部分的量
[28:41] 也是持續再增加
[28:43] 有沒有這個GPU跟Essig
[28:48] 現在的比重給我們參考一下
[28:53] 目前是沒有啦
[28:55] 但是
[28:56] 我們可能內部要算一下
[28:58] 但是以GPU
[29:00] 以我們東西來講
[29:01] 其實這個看不太準
[29:02] 以我們目前來講
[29:03] 做整個L10的比例來講
[29:05] 其實不是很高
[29:06] 所以OvoLine
[29:07] Essig當然會遠大於
[29:09] 那個AI
[29:10] 那個GPU那一部分
[29:12] 但是整個市場來看
[29:13] 是不一定的
[29:16] 好理解
[29:17] 好謝謝
[29:18] 我先問到這裡
[29:19] 謝謝
[29:20] 謝謝Angela
[29:24] 那下一個提問
[29:25] 來自於Invest Code Edward
[29:27] 請您直接
[29:28] 解除麥克風經營提問
[29:30] 謝謝
[29:32] 請問聽得到嗎
[29:43] 可以
[29:44] 謝謝各位轉觀
[29:45] 我大概兩個問題請教
[29:47] 第一個是
[29:49] 昨天
[29:50] 這幾天
[29:51] 有他的server同業
[29:53] 特別提到他們有些
[29:55] BitxModel改變
[29:56] 那他提到說
[29:57] 部分的伺服器
[29:59] 可以變成Consign的方式
[30:01] 就是說
[30:02] 可能CPU跟Memory
[30:04] 可能說就是不用包在裡面
[30:06] 就是由客戶來負責
[30:08] 那這樣子其實對營收
[30:10] 可能有些負面影響
[30:12] 但Modern會提升
[30:13] 總獲利
[30:14] 不會有太大的改變
[30:16] 但是Modern當然就會
[30:18] 有一些比較好的提升
[30:20] 我不知道音樂塔
[30:22] 是不是在
[30:24] 譬如說在server
[30:25] 包含是general server
[30:27] 或者是AIS server
[30:28] 也可以採取這樣的模式呢
[30:30] 因為我的感覺其實
[30:32] 整個margin number
[30:34] 當然
[30:35] dial number是沒有改變
[30:37] 但是好處是Modern會提升
[30:39] 而且是不是在
[30:41] carry
[30:42] 這個working capital
[30:43] 也是有一些好處
[30:44] 這是我的第一個問題
[30:45] 謝謝
[30:47] 其實這應該是非常客戶
[30:49] 其實每個客戶
[30:50] 我們現在其實
[30:51] 有些客戶其實是Buy and sale
[30:53] 有些客戶來講
[30:54] 他是有部分的Parsure Concise
[30:56] 就變成說不把他算進去
[30:58] 這兩個提醒目前都存在
[31:00] 但是大部分是取決客戶
[31:03] 他們prefer
[31:04] 或他們run的一個
[31:06] April Gmodel怎麼樣
[31:07] 我們其實基本上是follow
[31:09] 目前這兩個其實都是存在的
[31:11] 那對於就是說
[31:12] 其實是一樣的
[31:13] 就是說
[31:15] 資金運用上來講
[31:16] 可能會比較多
[31:17] 但是基本上
[31:18] 如果是
[31:19] 以concise來講的話
[31:21] 當然你是不需要付出那些資金成本
[31:23] 如果以Buy and sale來講
[31:25] 其實我們還是會把
[31:26] financial budget算下去
[31:27] 對於Buttonight來講
[31:29] 其實沒有影響
[31:31] 我只是在講
[31:33] 他特別提到的原因
[31:34] 應該是說
[31:35] 他可以跟客人
[31:37] 去往這個方向去走
[31:38] 所以我立刻說
[31:39] 如果是您
[31:40] 您可以跟您的客人
[31:42] 去談說
